Time,Ulcer,ATR,BBhPrice,BBlPrice,BBWidth,EMA5Price,EMA10Price,EMA20Price,MACDHist,DIplus,DIminus,VI,TRIX,CCI,DPO,STC,RSI,SRSI,TSI,UO,SO,WR,AO,ROC,CandleBodyWidth,CandleTopWick,CandleBottomWick,Day %,Day High %,Week %,Month %,Label
11:30,0.0456668233443534,0.0219958256931608,-0.0537661527418859,0.0280151878854681,0.0817918717254257,-0.0034192771192684,-0.0056752269135879,-0.0136053729824046,0.0006352132989146,26.034491822537117,44.54277110223703,-0.1935483870968348,-0.000739008656485,-63.46708628370988,-0.0259999999999962,87.43238479838189,43.66748173977857,0.6586351111809431,-9.373118653904738,41.43862483365387,42.85714285714866,-57.14285714285134,-0.0053921568627686,0.0161199322962926,-0.0080580177276316,0.0,0.0161199322962926,-0.3693295865114361,-0.4252928903867766,0.0080593165699589,3.771533701287845,-1
12:30,0.0166836309078739,0.0154701155638959,-0.0239027753747538,0.0263336076800453,0.0502357724811061,3.074694974625112e-05,-0.0013246780882367,0.0021523191702019,-0.0016968749357769,35.478434352481266,25.3592851983064,0.0499999999998899,-0.0007310870237737,-28.388278388293998,0.0114999999999838,2.7139629212248755,53.16112467747024,0.2421528411765329,-2.410095182148058,48.19317798040888,33.333333333333336,-66.66666666666667,-0.0066666666666606,-0.0080599661481348,0.0161238310222476,0.0,0.0,-0.3934162986752267,-0.4493660728615007,-0.0161186331399065,3.7464458939622047,0
13:30,0.0254108348218532,0.0170299966527959,-0.0115292785880555,0.0236358947597479,0.0351630448203681,0.0081149995565156,0.0060903219375622,0.0010438410012901,2.784076465298449e-05,32.9971049272174,32.65195239200275,-0.0416666666666839,-0.0011124555877337,9.27766732944178,-0.0025000000000119,52.978515625,48.54682153493114,0.9418040807544388,-10.736972054285404,39.48346780572956,60.00000000000568,-39.99999999999432,-0.007941176470581,0.0080671184253026,0.016135538523595,0.0,0.0,-0.4656764351665984,-0.521585620285673,-0.088652482269503,3.671182471985282,0
14:30,0.0117977273705618,0.0158564589343042,-0.0464702442605083,0.0642679106128839,0.1107283013465766,-0.0119350075689498,-0.0086846687832369,0.0058387294219776,-0.0050127586931328,39.185520260488296,27.678803594107464,0.4166666666666025,0.0021260365335912,31.111111111125396,-0.0290000000000105,1.5625,56.93159761918033,0.07455475928762,23.921048098173703,45.887445887442006,63.63636363635776,-36.36363636364224,0.0275490196078465,0.0322554632690847,0.0,0.0080612656187062,0.0,-0.4014452027298273,-0.4573904670197459,-0.0241779497098655,3.73808329152032,1
15:30,0.0119800951476152,0.0168601746625395,-0.0070626481902171,0.0255867197775474,0.0326463442516747,0.0059736064382296,0.0076197522090562,0.0110936160113646,0.0002606511180316,29.723368617087363,21.858058198994225,0.2800000000000046,0.0003366972217822,114.11411411407548,-0.0085000000000121,55.13744929392935,56.04770953465687,0.5901470238472424,5.79949675873988,54.53320592451211,83.33333333332544,-16.666666666674562,0.0037254901960892,0.0,0.0,0.0080508815715362,0.0080515297906529,-0.2729827378562853,-0.3290001604878918,0.1047711154094096,3.871884930590396,0
10:30,0.1074778021697384,0.0448247261278848,-0.0240348528031296,0.1982263398181528,0.2220677810362983,0.0447679261616623,0.0705356371478526,0.0856318927856539,0.0141425725020102,42.93792823088391,30.17430401378334,-0.0370370370370028,0.0097529778490684,109.05642484587622,0.0475000000000136,99.2107270266627,64.97051298309003,0.8368256317403878,29.764748241212484,75.7687699505849,95.83333333333113,-4.166666666668887,0.0674509803921381,0.032344141667334,0.032344141667334,0.0,0.0,0.397662717091377,-0.0323232323232373,-0.2580020962670381,3.134639433097116,0
11:30,0.0160303028402176,0.0273124282426987,-0.0079858502495935,0.1334776967109704,0.1413748400119824,0.0308233162761203,0.0416306543316101,0.0555689905986134,0.0033819044022662,40.840596964881726,34.46497237358113,0.1714285714284379,0.0030516658368474,155.99173553717856,-0.0024999999999977,76.97877379684222,65.25264395606024,1.0,21.225735300871385,65.89330469029679,100.0,-0.0,0.0159803921568624,0.0404399870592018,0.0080853816300055,0.0,0.0,0.3814315857815281,-0.0727096461463915,-0.2741272272837244,3.117965819091284,1
12:30,0.0446154416237362,0.0169793903927669,-0.0401373678986336,0.0232028717787124,0.063345603306713,-0.0123111637388132,-0.0119378096039758,-0.0129363874947315,-0.001059393593321,32.18344820193131,40.13157660807033,-1.5787371410169729e-13,0.0011075311312147,-25.641025640956737,-0.010499999999979,43.704406082382405,44.43702252566769,0.2519084804474528,2.879121318593629,44.27467956879413,19.999999999982947,-80.00000000001705,0.0145098039215696,0.0,-0.0161459594736499,0.0,0.0,0.5112806362603437,-0.0726157818299204,-0.1451261791502111,3.2513547311379667,0
13:30,0.107465486912868,0.0373644400426187,-0.4117797483243456,-0.1214625939549925,0.2910932706566868,-0.1512570646347978,-0.2073349610586839,-0.2459834152418119,-0.0297070786653717,15.700425475469432,77.53712743047343,-0.7924528301885365,-0.0185257388531906,-363.1655272425589,0.0095000000000027,1.5625,13.417631952869812,0.0,-68.68413756400265,11.468944353043373,0.0,-100.0,-0.142352941176469,-0.2664298401420945,-0.1051269610221538,0.0,0.0,0.2515825353027124,-0.3388463089955641,-0.4031282754172378,2.9845769070446004,1
14:30,0.0165889827445094,0.0215028541410363,-0.0366810217198807,0.0447973081725578,0.0814750235192905,-0.0057084484960308,-0.0049910539836522,-0.0030153230570072,-0.0015825472920726,31.65077027559832,44.18290225166309,0.1600000000000727,0.0005700871500391,21.85792349724561,0.0349999999999965,9.560133342118244,48.6839931005289,0.1423475083957883,4.4300074466173935,54.42968625577828,50.0,-50.0,0.0103921568627498,0.0080834209037305,0.0,0.0,0.0,0.4057782827463074,-0.1855586930213827,-0.2499395307586892,3.1429762401000385,0
