Time,Ulcer,ATR,BBhPrice,BBlPrice,BBWidth,EMA5Price,EMA10Price,EMA20Price,MACDHist,DIplus,DIminus,VI,TRIX,CCI,DPO,STC,RSI,SRSI,TSI,UO,SO,WR,AO,ROC,CandleBodyWidth,CandleTopWick,CandleBottomWick,Day %,Day High %,Short Term %,Week %,Month %,Label
11:30,0.0213825440924855,0.0105225387832382,-0.040196227386495,0.1816578888240278,0.2216973078629903,0.001187023723742,0.0229842299029673,0.0547749166468864,-0.0004582625072561,56.71001864565073,20.54067010576964,0.3124999999999445,0.010680100315568,102.10210210210316,-0.007000000000005,24.4140625,64.88839659207287,0.533847897828697,37.72261832341621,73.27097505669182,75.00000000000445,-24.99999999999556,0.0375490196078374,0.0855981168414428,0.0,0.0,0.0,0.7539853511417522,-0.042744176105997,0.1284521515735437,1.8288700195950436,9.224661373190104,0
12:30,0.0317958892796024,0.0059170139911426,-0.0254398989049454,0.0682279339422761,0.0936477978209499,0.0131943818722416,0.0200183251362513,0.0253559005457986,0.0017779862192503,57.90550417368032,34.3910877362987,0.25,0.0022068710839288,73.54685646499946,0.0099999999999909,96.875,62.2294141137151,0.8381211009861503,19.98736304193641,59.89974937343359,100.0,-0.0,0.0057843137254778,0.0,0.0,0.0,0.0,0.8186126669538893,0.0,0.0641436818473252,1.8941868060091387,9.294722092480145,-1
14:00,0.0342862401427153,0.007654838804831,-0.0382914753819382,0.0404610877272641,0.0787517088058041,-0.00596802112326,-0.0012211622296158,-0.0010568156528535,0.0008230884303119,29.19813074434943,37.86224849957485,0.0,0.0028021214131201,7.662835248968173,-0.0095000000000027,49.37993179421941,49.108690643921264,0.6608889706813841,7.911604982494246,56.73469387754953,66.66666666665088,-33.333333333349124,0.0081372549019604,0.0,0.0,0.0,0.0,0.7324429125376913,-0.0854700854700836,-0.0213812272824569,1.807097757456996,9.201307800093408,0
14:30,0.0681014905659479,0.0083881286891811,-0.1342667600603782,-0.0218648566584903,0.112489719410667,-0.0423173417264875,-0.0620079314329207,-0.0803930952176441,-0.0035755506693964,15.4621677266362,62.33206450128614,-0.307692307692274,-0.0067694942088103,-222.22222222222223,0.0035000000000025,4.517690457985341,25.74628768357424,0.3067731574865913,-38.28129033488541,20.695970695970505,0.0,-100.0,-0.0181372549019727,-0.0641985876310593,-0.0214086919289188,0.0214086919289188,0.0,0.6031882809134018,-0.2136752136752015,-0.1496685909771226,1.6764641846287898,9.061186361513318,0
10:30,0.0348742503596868,0.0140424889647105,-0.0398660775251409,0.147371959607833,0.1871374452523612,0.0084009945451164,0.0200123340550967,0.0338703759719933,0.0003097265103878,30.70714783642952,28.177578197802134,0.3125000000000472,0.0046375322744799,91.97475202881752,0.0050000000000025,87.5,57.43914719960596,0.5176279888057934,11.002900689890534,48.34494773519198,75.00000000000445,-24.99999999999556,0.0197058823529303,0.0644053241734674,0.0,0.0,0.0,0.1288936627282541,-0.2994652406417124,0.0,1.946631671041121,8.194057567316623,-1
11:30,0.0384651366741606,0.0104400223308908,-0.1302361522887203,0.0918387618455614,0.2221175578072388,-0.0262300260844451,-0.0333865627772474,-0.0263829327543254,-0.003426375015901,30.78252850091035,41.80307071385483,0.0,-0.0026497679733885,-16.559829059855684,0.0309999999999988,0.0,45.68402943662502,0.0,-4.000494498016519,32.29166666666544,0.0,-100.0,-0.0056862745097987,-0.0214684413911507,-0.0214684413911507,0.0,0.0,0.0429645542427564,-0.3850267379679138,0.0,1.8591426071741064,8.101207056638817,1
12:30,0.1728226246467771,0.0110683847591816,-0.2591725471921078,0.0769126417458264,0.3363917425739064,-0.0051923088849085,-0.0266047090697723,-0.0727151835592893,0.0020198603352355,15.351211054221228,49.64573612782981,-1.2499999999999556,-0.0093193658679776,-85.01118568230578,0.0075000000000002,97.8925114852957,27.94421933161088,0.8676673587294202,-42.91947328999587,33.53357472021172,10.000000000004974,-89.99999999999503,-0.0340196078431276,-0.150472914875323,0.0,0.0,0.0,-0.2148227712137364,-0.641711229946518,-0.2576766158471064,1.5966754155730625,7.822655524605396,-1
14:30,0.0375455830778364,0.0130561509406981,-0.058695149798135,0.0716426475156585,0.1303293601183302,-0.0103725717674153,-0.0079471641888086,0.0150188912930121,-0.0024973779207501,47.872579672138734,17.793170787636154,0.0555555555555445,0.0012987071116048,21.50537634408602,0.0030000000000001,11.622696319760207,56.922312178693765,0.0,8.806873114375286,35.47833547833527,33.333333333329385,-66.66666666667061,0.0027450980392202,0.0214408233276115,0.0,0.0,0.0,0.2148227712137517,-0.213903743315511,0.1717844105647376,2.034120734908136,8.28690807799443,1
15:30,0.0280555978432609,0.0107503675194991,-0.071384145951737,0.2390286785847851,0.310152847390794,-0.0101009720223718,0.0166005035263722,0.05383239581316,-0.0013804160702062,48.34069699073667,32.74789345515876,1.1176470588235934,0.0142211172171248,87.11111111113007,-0.0109999999999956,24.96817762028617,63.92417957957341,0.6975372837553048,48.72199656716232,72.90744254691334,80.00000000000426,-19.999999999995737,0.0455882352941188,0.1716001716001832,0.0,0.0,0.0,0.3222341568206352,-0.1069518716577479,0.107181136120052,2.143482064741916,8.402971216341701,-1
10:30,0.1477942623846153,0.0112855081988183,-0.1650261308255586,0.0882890035217294,0.2534123650318671,0.0072838033340155,0.0028088406986622,-0.0093913287424127,0.0027514471274432,47.23481918473904,34.90793726827748,-0.2727272727272198,-0.0032594486061272,-39.21568627450553,-0.0080000000000026,100.0,47.42086574978421,0.6304299668699175,-19.92037474414199,43.95292207792232,33.33333333333728,-66.66666666666272,-0.0139215686274454,-0.0641985876310593,-0.0214086919289188,0.0,0.0,0.9729729729729792,-0.1710132535271447,0.0214178624973337,1.3674842630779305,7.951918631530294,1
